Easting,Northing
491940,4868931
491936,4868929
491933,4868928
491931,4868927
491928,4868926
491925,4868923
491920,4868921
491917,4868918
491914,4868916
491907,4868910
491896,4868897
491886,4868883
491879,4868875
491862,4868852
491847,4868834
491829,4868807
491808,4868779
491802,4868772
491789,4868754
491779,4868740
491769,4868726
491762,4868716
491757,4868708
491753,4868701
491748,4868694
491743,4868683
491735,4868661
491732,4868654
491730,4868646
491728,4868639
491724,4868630
491722,4868625
491719,4868619
491714,4868610
491710,4868602
491698,4868583
491691,4868573
491680,4868559
491671,4868550
491662,4868542
491648,4868529
491632,4868514
491621,4868503
491609,4868493
491597,4868480
491588,4868470
491579,4868460
491570,4868447
491558,4868432
491552,4868422
491547,4868414
491543,4868404
491541,4868399
491539,4868392
491537,4868385
491536,4868379
491536,4868372
491536,4868365
491536,4868359
491536,4868352
491536,4868347
491537,4868343
491539,4868336
491542,4868325
491546,4868310
491552,4868290
491556,4868275
491558,4868267
491559,4868261
491559,4868256
491560,4868247
491560,4868242
491560,4868235
491560,4868227
491559,4868221
491558,4868214
491554,4868203
491551,4868195
491543,4868175
491533,4868151
491520,4868122
491516,4868113
491501,4868075
491497,4868066
491492,4868048
491489,4868036
491486,4868023
491484,4868014
491483,4868002
491480,4867972
491479,4867959
491477,4867947
491474,4867934
491472,4867928
491470,4867922
491467,4867915
491463,4867908
491459,4867900
491453,4867892
491448,4867887
491444,4867882
491436,4867876
491430,4867871
491425,4867868
491417,4867862
491407,4867858
491402,4867856
491395,4867853
491382,4867849
491355,4867842
491346,4867840
491335,4867837
491328,4867835
491320,4867831
491313,4867829
491307,4867825
491302,4867821
491297,4867817
491291,4867812
491280,4867801
491270,4867789
491260,4867778
491246,4867761
491236,4867749
491223,4867735
491215,4867725
491204,4867713
491198,4867704
491178,4867683
491156,4867657
491146,4867645
491133,4867632
491122,4867618
491113,4867606
491108,4867602
491091,4867584
491080,4867574
491067,4867563
491056,4867556
491044,4867549
491021,4867536
491007,4867527
490999,4867524
490994,4867521
490987,4867516
490980,4867511
490974,4867505
490963,4867496
490960,4867493
490955,4867485
490950,4867477
490947,4867467
490945,4867459
490943,4867446
490941,4867433
490941,4867425
490942,4867412
490944,4867375
490944,4867364
490943,4867359
490943,4867350
490942,4867340
490940,4867333
490937,4867325
490935,4867320
490931,4867313
490927,4867305
490924,4867301
490917,4867293
490911,4867285
490904,4867279
490886,4867264
490867,4867248
490855,4867239
490841,4867230
490827,4867220
490814,4867212
490802,4867203
490785,4867194
490780,4867191
490772,4867187
490765,4867184
490757,4867181
490747,4867179
490739,4867179
490730,4867178
490712,4867179
490689,4867182
490664,4867187
490647,4867189
490632,4867190
490615,4867191
490607,4867191
490598,4867191
490587,4867191
490558,4867189
490537,4867188
490504,4867185
490449,4867179
490406,4867176
490380,4867174
490174,4867158
490099,4867152
490032,4867147
489968,4867142
489913,4867138
489873,4867134
489864,4867131
489853,4867129
489846,4867127
489841,4867125
489838,4867124
489835,4867121
489832,4867120
489830,4867119
489824,4867115
489819,4867110
489815,4867105
489812,4867103
489808,4867096
489801,4867083
489798,4867077
489795,4867067
489794,4867057
489792,4867038
489791,4867027
489790,4867018
489790,4867013
489788,4867008
489785,4866997
489780,4866982
489776,4866972
489770,4866959
489765,4866947
489760,4866939
489755,4866933
489751,4866927
489742,4866917
489730,4866908
489724,4866904
489716,4866901
489708,4866897
489695,4866894
489683,4866892
489665,4866888
489616,4866882
489585,4866876
489558,4866872
489531,4866868
489510,4866864
489500,4866862
489455,4866855
489426,4866851
489415,4866850
489406,4866850
489396,4866850
489388,4866851
489382,4866852
489375,4866854
489370,4866857
489354,4866861
489346,4866863
489338,4866867
489334,4866869
489326,4866871
489320,4866872
489315,4866872
489311,4866872
489307,4866871
489297,4866870
489288,4866868
489278,4866865
489269,4866862
489236,4866852
489223,4866848
489210,4866845
489200,4866844
489192,4866844
489187,4866844
489179,4866845
489170,4866847
489165,4866848
489153,4866853
489148,4866856
489141,4866860
489127,4866868
489116,4866876
489110,4866880
489099,4866887
489086,4866893
489078,4866896
489070,4866898
489062,4866901
489048,4866903
489037,4866905
489027,4866906
489009,4866907
489004,4866908
489004,4866908
488997,4866908
488990,4866911
488985,4866912
488977,4866916
488973,4866920
488968,4866922
488961,4866930
488958,4866932
488955,4866937
488953,4866943
488950,4866947
488949,4866952
488948,4866957
488947,4866961
488947,4866965
488947,4866970
488948,4866974
488949,4866980
488950,4866985
488952,4866990
488955,4866995
488960,4867001
488964,4867005
488967,4867007
488974,4867012
488979,4867015
488984,4867017
488989,4867018
488997,4867021
489002,4867021
489017,4867023
489036,4867025
489044,4867025
489096,4867027
489108,4867027
489126,4867026
489140,4867025
489156,4867024
489177,4867022
489191,4867022
489197,4867024
489202,4867025
489213,4867027
489222,4867030
489227,4867032
489242,4867039
489250,4867043
489254,4867046
489262,4867051
489266,4867056
489270,4867059
489274,4867063
489276,4867068
489279,4867071
489279,4867075
489282,4867080
489283,4867085
489283,4867089
489284,4867096
489284,4867100
489284,4867108
489283,4867116
489283,4867126
489280,4867136
489279,4867144
489276,4867150
489273,4867158
489263,4867173
489251,4867187
489241,4867202
489238,4867211
489235,4867216
489234,4867223
489233,4867229
489234,4867236
489235,4867240
489235,4867243
489237,4867247
489239,4867251
489244,4867258
489250,4867267
489260,4867279
489267,4867287
489270,4867290
