"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Have a listen to @oregongeography's own @Jim_Meacham on Jefferson Public Radio for this month's edition of Curious:… https://t.co/zODqT4ERQJ",FALSE,9,NA,2018-11-13 00:29:54,TRUE,NA,"1062140461496684544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"@su_liam @MapByNorthwest Yes, he's still faculty here in UO Geography!",FALSE,1,"su_liam",2018-11-13 00:23:30,FALSE,"1062086833570373632","1062138851039178752","574776700","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"What are you doing for Geography Awareness Week?! November 12-18, 2017
Events at @oregongeography with @MaptimeEUG… https://t.co/4XP6lvDgWF",FALSE,10,NA,2018-11-09 17:22:41,TRUE,NA,"1060945788195373056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"Join us for stories of ""Wild Migrations"": ungulate migration history, science and conservation across Wyoming and t… https://t.co/FqMpK6qEfb",FALSE,10,NA,2018-11-02 20:11:05,TRUE,NA,"1058451451758800896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",4,FALSE,FALSE,NA,NA
"You're invited! Sagebrush Collaboration Reading With Author Peter Walker. Thu. Nov 15 · 4:00 pm - 5:30 pm, Knight L… https://t.co/NlaF7MvWuD",FALSE,4,NA,2018-11-02 19:48:54,TRUE,NA,"1058445868901126144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"A friendly reminder to all you outdoor enthusiast&gt;&gt;&gt;https://t.co/wSkQ9yAIRB",FALSE,1,NA,2018-09-12 20:18:06,FALSE,NA,"1039971434376785921",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"If you’re able to get away from city lights within the next 2 weeks, look for the pyramid shaped glow of the Zodiac… https://t.co/5eWDA9nfqY",FALSE,10,NA,2018-09-05 18:38:34,TRUE,NA,"1037409669747101696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",4,FALSE,FALSE,NA,NA
"It may look clear out there but the air quality index in Eugene/Springfield area is over 110 today. Check out the s… https://t.co/ZfE7lCcwyP",FALSE,0,NA,2018-08-28 18:57:11,TRUE,NA,"1034515252161859584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"This is important. https://t.co/y9kClozFdJ",FALSE,2,NA,2018-04-17 18:43:37,FALSE,NA,"986314255350689792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"@UOgeographyclub has a twitter handle now, too!",FALSE,1,"uogeog",2018-04-13 17:33:55,FALSE,"984844561829609472","984847161304137728","3062098405","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"And we are excited to have you, too @cartofish! https://t.co/Buwe3wVAWk",FALSE,6,NA,2018-04-13 17:25:00,FALSE,NA,"984844916088913920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"#MapxNW @youthmappers  #mapathon Thurs Apr 19th, 5-7pm in Knight Lib 144. Help map infrastructure for refugees in Uganda!",FALSE,1,NA,2018-04-13 17:23:35,FALSE,NA,"984844561829609472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",2,FALSE,FALSE,NA,NA
"The 2018 Grad Fair at the Duckstore will be during week 2 of Spring Term (April 9th-12th). There you can order rega… https://t.co/wtnMltGB5h",FALSE,0,NA,2018-04-11 16:35:21,TRUE,NA,"984107645064724480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"If you are a graduating Geography senior, do not forget to check out the commencement page on our site! Link is bel… https://t.co/SlWxvLSnwu",FALSE,0,NA,2018-04-11 16:34:19,TRUE,NA,"984107385160544256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"Don't forget: Today is the last day you can add a class!",FALSE,0,NA,2018-04-11 16:32:04,FALSE,NA,"984106820154175488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"New jobs! Oregon Jobs!
https://t.co/7HyhP4xwcZ",FALSE,1,NA,2018-04-04 17:27:09,FALSE,NA,"981583966825201664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"Rise and Shine! It's the start to a new term and we are excited to see you in class. Happy Spring Term! :)",FALSE,3,NA,2018-04-02 16:11:54,FALSE,NA,"980840254297948160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"@summerofmaps applications close March 11th! Paid fellowships performing geospatial analysis for non-profits!… https://t.co/NryaGKZ1p4",FALSE,0,"SummerOfMaps",2018-03-08 20:49:02,TRUE,NA,"971850302788812800","2148260179","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
