"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @jimidragon: @sarah_beretta That would be disastrous in various weather situations. It might be cozy in a snowstorm if the legs were cov…",FALSE,0,NA,2019-02-09 18:00:26,FALSE,NA,"1094294970817830913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sarah_beretta",1,TRUE,FALSE,NA,NA
"RT @accuweather: A #snowstorm is slamming #Seattle and the rest of the Northwest. Get the latest on the storm here: https://t.co/mLwGwOJv7y…",FALSE,0,NA,2019-02-09 17:55:21,FALSE,NA,"1094293689529118720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","peoplefighter1",37,TRUE,FALSE,NA,NA
"SNAPPED: Cowboy uses 4WD horsepower to get to market today during snowstorm https://t.co/rLBDgR6wLS",FALSE,0,NA,2019-02-09 17:54:22,FALSE,NA,"1094293444493746176",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","m_strayer",0,FALSE,FALSE,NA,NA
"Shes clean again after a harsh snowstorm <U+0001F970><U+0001F697><U+2728><U+0001F60A> #typer #civictyper #turbo10thcivic #civichatchback #2018civic #fk8… https://t.co/slFCm0Bk7F",FALSE,0,NA,2019-02-09 17:53:41,TRUE,NA,"1094293269264007168",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Micoo99",0,FALSE,FALSE,NA,NA
"@sarah_beretta That would be disastrous in various weather situations. It might be cozy in a snowstorm if the legs were covered, though.",FALSE,1,"sarah_beretta",2019-02-09 17:52:36,FALSE,"1094047355291267078","1094292999004147712","1046566507700998146","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jimidragon",1,FALSE,FALSE,NA,NA
"@stormwx1 Snowstorm?",FALSE,0,"stormwx1",2019-02-09 17:52:36,FALSE,"1094292809807360000","1094292998152749058","807353223300468736","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JU2419922",0,FALSE,FALSE,NA,NA
"RT @accuweather: A #snowstorm is slamming #Seattle and the rest of the Northwest. Get the latest on the storm here: https://t.co/mLwGwOJv7y…",FALSE,0,NA,2019-02-09 17:41:30,FALSE,NA,"1094290203227742208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mahanthanut",37,TRUE,FALSE,NA,NA
"Crazy snowstorm we’re having",FALSE,0,NA,2019-02-09 17:36:55,FALSE,NA,"1094289052801482752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katiereese48",0,FALSE,FALSE,NA,NA
"This snowstorm is validating my wanting to never leave my apartment.",FALSE,1,NA,2019-02-09 17:35:38,FALSE,NA,"1094288729450078208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Miltonious2016",0,FALSE,FALSE,NA,NA
"I received my @LLBean boots last March and we haven’t had a snowstorm since.  <U+0001F610>  cmon",FALSE,0,NA,2019-02-09 17:33:37,FALSE,NA,"1094288223172476928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dpali5",0,FALSE,FALSE,NA,NA
"You ever tried to chase and gather 14 chickens and 2 horses in a snowstorm? Don’t",FALSE,30,NA,2019-02-09 17:31:41,FALSE,NA,"1094287736054284288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kkvanilla",0,FALSE,FALSE,NA,NA
"RT @accuweather: A #snowstorm is slamming #Seattle and the rest of the Northwest. Get the latest on the storm here: https://t.co/mLwGwOJv7y…",FALSE,0,NA,2019-02-09 17:29:55,FALSE,NA,"1094287291302981639",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Stauride",37,TRUE,FALSE,NA,NA
"RT @birdwriter7: #Snowstorm #SundayThoughts #iceskating #icedance #ChildrensBooks #mg #booklovers #kids #Read #Amazon #Book

I love the ice…",FALSE,0,NA,2019-02-09 17:29:49,FALSE,NA,"1094287263746404352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MrWaqasAkram",194,TRUE,FALSE,NA,NA
