"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"ICYMI: Thanks to Terri and Jon Anderson, and Nancy and Dave Petrone, whose matching gifts will endow new chairs in… https://t.co/KGsehdiIkL",FALSE,41,NA,2019-01-06 01:30:12,TRUE,NA,"1081724580698427393",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",1,FALSE,FALSE,NA,NA
"Most university activities funded by federal agencies will be unaffected by the partial federal government shutdown… https://t.co/34I1oeNZL8",FALSE,17,NA,2019-01-05 20:20:08,TRUE,NA,"1081646551053803521",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",4,FALSE,FALSE,NA,NA
"If you've wanted to learn how to consistently make great coffee, here's your chance. Come to our next Quack Chats t… https://t.co/YAoLweocDv",FALSE,13,NA,2019-01-05 18:30:20,TRUE,NA,"1081618917297135622",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",2,FALSE,FALSE,NA,NA
"If your New Year's resolution is already on shaky ground, it helps to make yourself aware of potential pitfalls to… https://t.co/OKby4PtReT",FALSE,9,NA,2019-01-05 17:01:13,TRUE,NA,"1081596492740218885",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",1,FALSE,FALSE,NA,NA
"UO earth scientist Thomas Giachetti has researched Anak Krakatau, also known as the ‘Child of Krakatau,' for years,… https://t.co/jOqwjcB25a",FALSE,11,NA,2019-01-05 02:15:06,TRUE,NA,"1081373491948068864",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",3,FALSE,FALSE,NA,NA
"What's the secret to a good cup of coffee -- we're talking a *really good* cup of coffee? Learn from a chemist who… https://t.co/4K9I68i1Mu",FALSE,22,NA,2019-01-04 23:20:04,TRUE,NA,"1081329444697112582",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",5,FALSE,FALSE,NA,NA
"@tierneyl @kf_perry @PostGraphics @uogeog We love to hear about Ducks spreading their wings and doing great things! #GoDucks",FALSE,1,"tierneyl",2019-01-04 21:09:04,FALSE,"1081295499683082242","1081296477165576193","28011281","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",0,FALSE,FALSE,NA,NA
"@UOInnovates News you can use!",FALSE,0,"UOInnovates",2019-01-04 20:55:19,FALSE,"1081292549854093312","1081293017066102784","905532424519647234","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",0,FALSE,FALSE,NA,NA
"@AlexHorwitch You tell 'em, Alex!",FALSE,4,"AlexHorwitch",2019-01-04 20:50:20,FALSE,"1081288678863822849","1081291762579038208","121238569","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",0,FALSE,FALSE,NA,NA
"... thus settling an age-old debate. https://t.co/wtOeDzImmA",FALSE,123,NA,2019-01-04 20:48:37,FALSE,NA,"1081291331526258688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",18,FALSE,FALSE,NA,NA
